location,online_order,name
BTM,No,1766
BTM,Yes,3305
Banashankari,No,397
Banashankari,Yes,507
Banaswadi,No,302
Banaswadi,Yes,343
Bannerghatta Road,No,687
Bannerghatta Road,Yes,924
Basavanagudi,No,243
Basavanagudi,Yes,441
Basaveshwara Nagar,No,87
Basaveshwara Nagar,Yes,100
Bellandur,No,519
Bellandur,Yes,752
Bommanahalli,No,121
Bommanahalli,Yes,115
Brigade Road,No,553
Brigade Road,Yes,665
Brookefield,No,239
Brookefield,Yes,417
Church Street,No,226
Church Street,Yes,343
City Market,No,94
City Market,Yes,28
Commercial Street,No,228
Commercial Street,Yes,142
Cunningham Road,No,168
Cunningham Road,Yes,323
Domlur,No,247
Domlur,Yes,235
Ejipura,No,214
Ejipura,Yes,220
Electronic City,No,676
Electronic City,Yes,572
Frazer Town,No,288
Frazer Town,Yes,432
HBR Layout,No,48
HBR Layout,Yes,105
HSR,No,585
HSR,Yes,1911
Hennur,No,56
Hennur,Yes,103
Hosur Road,No,43
Hosur Road,Yes,59
"ITPL Main Road, Whitefield",No,33
"ITPL Main Road, Whitefield",Yes,80
Indiranagar,No,701
Indiranagar,Yes,1332
Infantry Road,No,89
Infantry Road,Yes,62
JP Nagar,No,911
JP Nagar,Yes,1308
Jayanagar,No,552
Jayanagar,Yes,1364
Jeevan Bhima Nagar,No,68
Jeevan Bhima Nagar,Yes,200
Kaggadasapura,No,22
Kaggadasapura,Yes,79
Kalyan Nagar,No,350
Kalyan Nagar,Yes,491
Kammanahalli,No,265
Kammanahalli,Yes,375
Koramangala 1st Block,No,384
Koramangala 1st Block,Yes,853
Koramangala 2nd Block,No,39
Koramangala 2nd Block,Yes,63
Koramangala 3rd Block,No,91
Koramangala 3rd Block,Yes,125
Koramangala 4th Block,No,459
Koramangala 4th Block,Yes,558
Koramangala 5th Block,No,867
Koramangala 5th Block,Yes,1614
Koramangala 6th Block,No,445
Koramangala 6th Block,Yes,684
Koramangala 7th Block,No,390
Koramangala 7th Block,Yes,786
Koramangala 8th Block,No,82
Koramangala 8th Block,Yes,212
Kumaraswamy Layout,No,29
Kumaraswamy Layout,Yes,162
Lavelle Road,No,317
Lavelle Road,Yes,206
MG Road,No,520
MG Road,Yes,374
Majestic,No,134
Majestic,Yes,21
Malleshwaram,No,309
Malleshwaram,Yes,415
Marathahalli,No,701
Marathahalli,Yes,1107
Nagawara,No,25
Nagawara,Yes,162
New BEL Road,No,255
New BEL Road,Yes,389
Old Airport Road,No,221
Old Airport Road,Yes,216
Other,No,375
Other,Yes,481
Race Course Road,No,93
Race Course Road,Yes,46
Rajajinagar,No,286
Rajajinagar,Yes,305
Residency Road,No,426
Residency Road,Yes,248
Richmond Road,No,557
Richmond Road,Yes,247
Sarjapur Road,No,324
Sarjapur Road,Yes,725
Seshadripuram,No,90
Seshadripuram,Yes,75
Shanti Nagar,No,289
Shanti Nagar,Yes,222
Shivajinagar,No,354
Shivajinagar,Yes,145
South Bangalore,No,36
South Bangalore,Yes,71
St. Marks Road,No,176
St. Marks Road,Yes,167
Thippasandra,No,111
Thippasandra,Yes,80
Ulsoor,No,389
Ulsoor,Yes,628
"Varthur Main Road, Whitefield",No,15
"Varthur Main Road, Whitefield",Yes,94
Vasanth Nagar,No,146
Vasanth Nagar,Yes,147
Whitefield,No,986
Whitefield,Yes,1123
Wilson Garden,No,112
Wilson Garden,Yes,134
Yeshwantpur,No,26
Yeshwantpur,Yes,93
